ListName,ColumnName,Type,Required,Notes
Courses,CourseNumber,Single line of text,Yes,Enforce unique values
Courses,CourseTitle,Single line of text,Yes,
Courses,IsActive,Yes/No,Yes,Default Yes
StudentOutcomes,OutcomeCode,Single line of text,Yes,Enforce unique values
StudentOutcomes,OutcomeDescription,Multiple lines of text,No,
PerformanceIndicators,IndicatorCode,Single line of text,Yes,Enforce unique values
PerformanceIndicators,IndicatorDescription,Multiple lines of text,No,
PerformanceIndicators,StudentOutcome,Lookup (StudentOutcomes),Yes,Each indicator must belong to exactly one outcome
CoursePerformanceIndicators,Course,Lookup (Courses),Yes,
CoursePerformanceIndicators,PerformanceIndicator,Lookup (PerformanceIndicators),Yes,
Semesters,TermName,Single line of text,Yes,Example: Fall 2026
Semesters,StartDate,Date and Time,Yes,
Semesters,EndDate,Date and Time,Yes,
Semesters,Status,Choice,Yes,Choices: Draft|Active|Closed
TeachingAssignments,Semester,Lookup (Semesters),Yes,
TeachingAssignments,Course,Lookup (Courses),Yes,
TeachingAssignments,InstructorName,Single line of text,Yes,
TeachingAssignments,InstructorEmail,Single line of text,Yes,
TeachingAssignments,FormStatus,Choice,Yes,Choices: NotSent|Sent|InProgress|Submitted
TeachingAssignments,FormToken,Single line of text,Yes,GUID
Questions,QuestionText,Multiple lines of text,Yes,
Questions,QuestionType,Choice,Yes,Choices: LongText|SingleChoice
Questions,AppliesTo,Choice,Yes,Choices: Global|CourseSpecific
Questions,Course,Lookup (Courses),No,Only required when AppliesTo=CourseSpecific
Questions,DisplayOrder,Number,Yes,
Questions,IsActive,Yes/No,Yes,Default Yes
QuestionChoices,Question,Lookup (Questions),Yes,
QuestionChoices,ChoiceLabel,Single line of text,Yes,
QuestionChoices,ChoiceValue,Single line of text,Yes,
QuestionChoices,DisplayOrder,Number,Yes,
Responses,Assignment,Lookup (TeachingAssignments),Yes,
Responses,Question,Lookup (Questions),Yes,
Responses,AnswerText,Multiple lines of text,No,Used for LongText
Responses,AnswerChoice,Single line of text,No,Used for SingleChoice
Responses,SubmittedAt,Date and Time,Yes,
